Name,Table Name,Extended From Class,CI Family,Created
MSFT SQL Catalog,cmdb_ci_db_mssql_catalog,Database Catalog,cmdb_ci_db,06/03/2015 17:57
MSFT SQL Instance,cmdb_ci_db_mssql_instance,Database Instance,cmdb_ci_db,06/03/2015 17:57
MSMQ,cmdb_ci_appl_msmq,Application,cmdb_ci_appl,11/08/2016 19:24
MSMQ Flow Endpoint,cmdb_ci_endpoint_msmq,Endpoint,cmdb_ci_endpoint,11/08/2016 19:23
Multi-function Printer,cmdb_ci_mfp_printer,Printer,cmdb_ci_mfp,11/08/2016 19:25
Multimedia Device,cmdb_ci_multimedia,IoT Device,cmdb_ci_multimedia,06/03/2021 00:24
Multipath IO Pool,cmdb_ci_mpio_pool,Storage Pool,cmdb_ci_mpio,06/03/2015 17:57
Multipath IO Pool Group,cmdb_ci_mpio_pool_group,Storage Pool,cmdb_ci_mpio,06/03/2015 17:57
Multipath IO Pool Path,cmdb_ci_mpio_pool_path,Storage Pool Member,cmdb_ci_mpio,06/03/2015 17:57
MySQL Catalog,cmdb_ci_db_mysql_catalog,Database Catalog,cmdb_ci_db,06/03/2015 17:57
MySQL Cluster Data Node Endpoint,cmdb_ci_endpoint_mysql_cl_dn,Endpoint,cmdb_ci_endpoint,11/08/2016 19:22
MySQL Cluster MGM Endpoint,cmdb_ci_endpoint_mysql_cl_mg,Endpoint,cmdb_ci_endpoint,11/08/2016 19:24
MySQL Instance,cmdb_ci_db_mysql_instance,Database Instance,cmdb_ci_db,06/03/2015 17:57
MySQL Secondary Server Endpoint,cmdb_ci_endpoint_mysql_slave,Endpoint,cmdb_ci_endpoint,11/08/2016 19:24
MySQL Server Endpoint,cmdb_ci_endpoint_mysql_server,Endpoint,cmdb_ci_endpoint,11/08/2016 19:23
MySQLClusterDataNode,cmdb_ci_db_mysql_clusternode,Application,cmdb_ci_db,11/08/2016 19:24
MySQLClusterMGMNode,cmdb_ci_db_mysql_clustermgnode,Application,cmdb_ci_db,11/08/2016 19:23
NAS File System,cmdb_ci_nas_file_system,File System,cmdb_ci_nas,06/03/2015 17:57
NAS Storage,cmdb_ci_nas_storage,Virtual Machine Object,cmdb_ci_nas,22/02/2018 19:22
NAT,cmdb_ci_translation_rule,Configuration Item,cmdb_ci_translation,11/08/2016 19:22
NAT Endpoint,cmdb_ci_endpoint_nat,Endpoint,cmdb_ci_endpoint,22/02/2018 19:24
NAT Gateway,cmdb_ci_nat_gateway,Virtual Machine Object,cmdb_ci_nat,22/02/2018 19:23
Netapp CDOT,cmdb_ci_netapp_cdot,Virtual Machine Object,cmdb_ci_netapp,22/02/2018 19:24
Netapp Datacenter,cmdb_ci_netapp_datacenter,Logical Datacenter,cmdb_ci_netapp,22/02/2018 19:23
Netapp SVM,cmdb_ci_netapp_svm,Virtual Machine Object,cmdb_ci_netapp,22/02/2018 19:23
Netapp Volume,cmdb_ci_netapp_volume,Storage Volume,cmdb_ci_netapp,22/02/2018 19:23
Netware Server,cmdb_ci_netware_server,Server,cmdb_ci_netware,06/03/2015 17:57
Network,cmdb_ci_kvm_network,KVM Object,cmdb_ci_kvm,06/03/2015 17:57
Network ACL,cmdb_ci_network_acl,Virtual Machine Object,cmdb_ci_network,22/02/2018 19:23
Network ACL Rule,cmdb_ci_network_acl_rule,Virtual Machine Object,cmdb_ci_network,22/02/2018 19:23
Network Adapter,cmdb_ci_network_adapter,Configuration Item,cmdb_ci_network,06/03/2015 17:57
Network Appliance,cmdb_ci_net_app_server,Server Hardware,cmdb_ci_net,11/08/2016 19:23
Network Appliance Hostname,cmdb_ci_net_app_host,Configuration Item,cmdb_ci_net,11/08/2016 19:22
Network Circuit,cmdb_ci_network_circuit,Configuration Item,cmdb_ci_network,06/03/2021 00:47
Network Endpoint,cmdb_ci_endpoint_network,Endpoint,cmdb_ci_endpoint,11/08/2016 19:24
